Utterance,Intent
"Yes, I'm also looking for places to go in the centre.",4
Any park or historical building would be good. Can you give me the name and telephone number of an attraction?,4
Yes please. And get me a taxi for that commute.,4
"I would like to arrive at the restaurant by 18:00, and I would like a contact number and car type.",4
"I would like to arrive at the restaurant by 18:00, and I would like a contact number and car type.",2
I'm looking for a restaurant called michaelhouse cafe.,3
"Great, I need a table for 3 at 18:15 on Tuesday.",2
"Great, I need a table for 3 at 18:15 on Tuesday.",4
"Yes, I also need a train on Tuesday to arrive by 10:30.",2
"Yes, I also need a train on Tuesday to arrive by 10:30.",4
The train should go to cambrige and depart from ely. I also need a restaurant booking on the same day and would like to arrive by 10:30,2
The train should go to cambrige and depart from ely. I also need a restaurant booking on the same day and would like to arrive by 10:30,4
Why do you need to know my preference? You already booked me a table at michaelhouse cafe...,2
"Is there somewhere inexpensive to stay in town? I'll be driving in, so I'll need somewhere that I can park for free, as well.",1
I would like to be in the centre area and should include free wifi.,1
I would like to be in the centre area and should include free wifi.,4
That sound perfect. I would really like to book a room for the my family of six.,0
"Starting on Saturday, I would like to book 3 nights at that hotel for my family of 6.",0
Yes actually. I am looking for a train that goes to the Stansted Airport from Cambridge.,4
I'll be traveling on Tuesday.,4
The train should arrive at Stansted Airport by 13:45.,4
Can I get the one that arrives closest to 13:45? Can you book that for 6 seats and give me the reference number?,4
"Yes, please book it for the same group of people.",4
"i am looking for places to go in town centre, should be of multiple sports",4
"How about museums, are there any of those in the area?",4
Any of those are fine with me. Could you provide me with the address and postcode for any one of them?,4
I am looking for a train or some form of public transportation to get to these museums. Does that exist?,4
From norwich to cambridge please.,4
I actually need to travel on Tuesday. I will need to be in Cambridge by 21:45 by train.,4
"Not just now, but can you tell me what that train's departure time is?",4
i need information about wagamama restaurant.,3
I need to book a table for 2 people please.,2
"Wednesday, 17:45. Reference number, please?",2
"Wednesday, 17:45. Reference number, please?",4
"After you get around to that reference number, I also want to go somewhere in the Centre of town.",2
"After you get around to that reference number, I also want to go somewhere in the Centre of town.",4
"Okay, thanks! What type of attraction is that?",4
Thanks! I also need a taxi to commute between both places. I need it to arrive at the restaurant by 17:45.,4
Thanks! I also need a taxi to commute between both places. I need it to arrive at the restaurant by 17:45.,2
No worries. Thanks for the assistance. I was also interested in booking a taxi.,4
"I'm sorry, before we get to the, could I get the address to the All Saints Church?",4
Ok thank you. Can I also get help with a taxi to go between the two places?,4
Will the taxi get me to the restaurant by the booked time?,4
Will the taxi get me to the restaurant by the booked time?,2
I'm looking for a guesthouse to stay in in the south,1
I would like one in the cheap price range.,1
Could I get the address?,1
Could I get the address?,3
Yeah um how about I can see camboats.,4
What exactly is Camboats?,4
Going back to Rosa's B&B... can you tell me if they offer free wifi? Then maybe you can help me arrange a taxi as well.,1
I would like to get a taxi to leave Rosa's B&B by 22:45 to go to camboats.,4
I would like to get a taxi to leave Rosa's B&B by 22:45 to go to camboats.,4
I need a taxi as well.,4
Can you help me get a room at the arbury lodge guesthouse?,1
"First, I have a couple of questions. Do you have internet and free parking? Also, what is the address of the hotel?",1
"That all I need on the hotel, can you also give me information on the mumford theatre?",4
Can I get the postcode and area please?,1
Can I get the postcode and area please?,4
"Hi, I'm looking for a hotel with free wifi that is moderately priced.",1
I would like to stay at a guesthouse in the centre please,1
"Hmm, well that isn't good. Oh well, how about trying if there is a guesthouse thats cheap then. I suppose it will have to do.",1
"Yes, please, for four people on Thursday.",0
"I need five nights. And I need the reference number, please.",0
I'm looking for a restaurant serving barbeque in the centre of town.,3
Can you find a restaurant that has asian or oriental food?,3
Could you give me their postcode please?,3
I'm looking for a hotel called Avalon.,1
Does it have internet?,1
Great. Thanks for the information. I'm also looking for a train that departs from Norwich for Cambridge on Sunday that will arrive by 11:15. Can you help with that?,4
Please book me.,4
"I actually need 5 tickets on that train, please.",4
It would be great if you can help me find a train going to Cambridge.,1
It would be great if you can help me find a train going to Cambridge.,4
"I will be departing from Leicester on Saturday, preferably after 17:45",4
"That would work, can you give me the price and travel time?",4
I am also looking for some information on The Whipple Museum of the History of Science.,4
Could I have the phone number?,4
"Hello, I'm trying to find an international restaurant in the east. Any ideas?",3
"Hello, I'm trying to find an international restaurant in the east. Any ideas?",1
"No, please give me their post code instead.",3
I also need a hotel on the Southside.,1
"Can you tell me if it offers free parking? Also, how many stars is the Lensfield?",1
Can you look for a 2 star hotel in that area if not available then could you try one that is in the east?,3
Can you look for a 2 star hotel in that area if not available then could you try one that is in the east?,1
Yes I'd like to book 5 nights for 1 beginning on Tuesday. Could I get the reference number for that as well?,0
What are the nearest diners by the hotel?,3
What are the nearest diners by the hotel?,0
"Actually, I'd like to book a taxi from the hotel to The Missing Sock. I'd like to depart by 09:15.",4
"Actually, I'd like to book a taxi from the hotel to The Missing Sock. I'd like to depart by 09:15.",0
I'm looking for an expensive place to dine in the centre.,3
What is available for Friday at 15:15 for 7 people?,2
"Actually, let's try a little earlier. Is there anything at 14:15?",2
"Thank you, I also need a train that will arrive by 14:45 on saturday",2
"Thank you, I also need a train that will arrive by 14:45 on saturday",4
yes please book it.,4
I'm sorry that train won't work. I need to depart from Cambridge and go to Ely.,4
Thank You. What is the price?,4
Can you find a place called lynne strover gallery.,4
"Yes, please. I also need to know what side of town they're on and what the entrance fee is. Thanks!",4
I'm looking for an expensive restaurant in the centre of town.,3
"North Indian, if possible.",3
Hmm.. let's try one with Korean food then.,3
"No, that's ok. Can you just give me the address and postcode?",3
I need to find an Italian place to eat. Hopefully with moderate prices.,3
"No, just pick me one you think would be good to go to and please provide me with an address to that location.",3
Thanks so much for the info. I will pay them a visit. Have a nice day.,3
Hi. I will be attending a conference in the eastern part of town and wondered if you could help me find an available room.,1
I prefer a guesthouse. Do you have any expensive ones?,1
How about a hotel in the cheap price range?,1
Which one would you recommend?,1
That sounds alright. Do they have free parking?,1
"I don't need a room right now, but does the Allenbell have free wifi? And what's their postcode?",1
I'm looking for a place to go with architecture in the centre.,4
"That sounds lovely, could I get the phone number and postal code please?",4
Thank you! Can you help me find a restaurant by the name of Loch Fyne?,3
Please book a table for 8 people at 19:15 on Wednesday.,2
How about 18:15?,2
What kind of sports attractions are available in the center of town?,4
I am looking to go to a college then instead.,4
"Yes, I will need the phone and address please. Also, what is their entrance fee?",4
I am also looking for a hotel to stay at with free wifi.,1
Do any of the hotels have free parking?,1
will you please book me at The Gonville Hotel for 2 people and 2 nights starting from wednesday. Also may i get the reference number,0
I've got a hankering for some Spanish food - is there anywhere good in the centre of town?,3
I don't have a preference really. Can you book me a table for 8 at one of them? We would like to eat there on Monday.,2
11:15 would be perfect.,2
How about 10:15 instead?,2
Can you find a train arriving by 10:00 Tuesday from Cambridge to Norwich?,4
That would work for me. Can you book me 8 tickets please?,4
"Hi, I need a taxi to gourmet burger kitchen going from hamilton lodge!",4
I want to leave after 4:00.,4
"It doesn't matter, I just want to leave after 4:00.",4
I am looking for an expensive place to dine at the centre.,3
I think tonight we are looking for seafood,3
"No, I just need the phone number and postcode.",3
I also need a train that goes from cambridge to london kings cross.,4
I want to leave on tuesday after 12:45.,4
That sounds perfect. Please book it for me.,4
One more thing. Can you confirm the travel time or duration of my train trip?,4
I am planning a trip to Cambridge by train and would like to leave on thursday.,4
I would like to leave from Kings Lynn sometime after 10:00.,4
"The first one will be fine. I'll need the arrival time for that one, please.",4
"Great, I am also looking for a cinema to attend while in town. Do you have any suggestions?",4
Could I have the address and entrance free for Vue cinema?,4
"Yes please, I need to know their entrance fee.",4
Can you recommend a cinema that your database does have address and entrance fee information for?,4
Can you help me find a place to stay please?,1
I'm not sure. I do want an expensive 4 star hotel with free wifi but don't need free parking.,1
what about the one fitting the description with free parking?,1
"University Arms sounds delightful, please book me for 5 people and 5 nights starting on friday. Can I get the reference number.",0
"University Arms sounds delightful, please book me for 5 people and 5 nights starting on friday. Can I get the reference number.",3
i'm also looking for pizza hut city centre,3
"Book it Friday, 5 people, 19:00/",2
"Book it Friday, 5 people, 19:00/",0
"Book it Friday, 5 people, 19:00/",4
Can you book a taxi for me to get me from the hotel to the restaurant in time for dinner? I'll need contact number and car type.,4
Could you help me find a moderately priced place to stay?,1
No. However I would like for the hotel to be 4 star and include free wifi.,1
"Could you check one more time. Moderate, free parking, free wifi, and 4 stars.",1
"Well, I really need a hotel, I will have 7 people including myself. The location doesn't matter.",1
"Yes, that would be fine as long as it meets the criteria. It needs to be for 7 people, 5 nights, and start on Monday.",0
Yes I would like to make these reservations.,0
I'd also like to book a train departing from Cambridge on Saturday.,4
i am going to peterborough and need to arrive by 18:15.,4
book for 7 people and give me the reference number,4
I am looking for places to go in the centre.,4
"I'm looking for attractions, can you suggest something interesting?. I also need the phone number and entrance fee.",4
"That's some recommendation. Can you at least tell me the phone number too, like I asked?",4
Yes i'm also looking for a train for Friday.,4
I will be departing from london liverpool street and need to go to cambridge. I need to leave after 20:30.,4
"Perfect, yes. I'll need 7 tickets.",4
I just need a reference number please.,4
"Hi! Can you help me find an awesome nightclub to go to tonight? I don't want it to be too far away, so could you find one in the city centre?",4
What is the name and postcode of any one of those nightclubs?,4
"Perfect thank you! I also need to find a train leaving from peterborough, can you help me with that too?",4
I won't be able to get out of Peterborough before 19:00 on Friday.,4
"Yes, that would be wonderful. Thanks.",4
"Two seats, please.",4
I have heard you have great museums. I would like to visit one while in Cambridge.,4
"Not really, what do you suggest? And can you provide a phone number?",4
Great I am also looking for a restaurant called nandos city centre,3
"Absolutely, I need a table for 8 on Saturday, at 17:00 please.",2
"Absolutely, I need a table for 8 on Saturday, at 17:00 please.",4
"Great. Can you give the reference number, please?",2
I also need a taxi to get from the museum to the restaurant. I need to get to the restaurant by 17:00.,4
I also need a taxi to get from the museum to the restaurant. I need to get to the restaurant by 17:00.,2
I also need a taxi to get from the museum to the restaurant. I need to get to the restaurant by 17:00.,4
I'm looking for a restaurant called royal spice.,3
May I have the phone number and price range of the restaurant?,3
Great I am also looking for a hotel called Worth House.,1
Perfect can you book that for 1 person for 5 nights starting monday?,0
"Yes please, I will need a taxi to take me to the restaurant. I'd like to leave the hotel say around 15:00?",4
"Yes, I am looking for a molecular gastronomy restaurant in the centre.",3
"Yes, I am looking for a molecular gastronomy restaurant in the centre.",4
Do you have any molecular gastronomy restaurants at all?,3
How about an expensive thai restaurant?,3
"I would prefer one in the Centre part of town, do they have openings for tonight?",3
"I would prefer one in the Centre part of town, do they have openings for tonight?",1
"I would prefer one in the Centre part of town, do they have openings for tonight?",4
Great! Can I have the address and phone number please?,3
Can you help me with attractions? I'd like a place to go in the same part of town as the restaurant.,3
Can you help me with attractions? I'd like a place to go in the same part of town as the restaurant.,4
I have no strong preference. Please suggest something fun.,4
Okay. Can you tell me the address and phone number please,4
I need to book a taxi to pick me up at Bangkok City and bring me to Club Salsa.,4
"Yes, I need to be at the restaurant by 12:30.",4
I am looking for a restaurant that is moderately priced and served British food.,3
How about the center? I need a reservation for 8 people at 14:15 on a Friday.,2
"Yes, that would be fine. Is there a table for 8 available?",2
Friday at 14:15.,2
Can you try to book it for 13:15?,2
i am looking for a swimmingpool in Cambridge,4
No. Which one is best?,4
"That will work for me, but I would like to stay in the north part of town, are there any open guesthouses?",1
I need one that's expensive and has a 4 star rating.,1
"Maybe try for a moderate instead? Also, what was the entrance fee for Parkside Pools?",1
"Maybe try for a moderate instead? Also, what was the entrance fee for Parkside Pools?",4
"Thanks. Going back to the hotel booking, would you try a moderate price range, please?",1
"No, I would like an expensive hotel.",1
Try a moderately priced guesthouse in the north then. With 4 stars,1
"No it really doesn't matter, just whatever is in the moderate price range. I'll need it for 5 nights.",0
That sounds great. Can you book it for me?,0
I need it for 5 nights starting on Wednesday.,0
I would like to book it for 5 people. Thanks.,0
Please book me a taxi to come to Rajmahal by 22:30.,4
"I want to depart from Rajmahal, not go to there.",4
I'll be heading to restaurant two two,4
I am looking for a place that has great architecture.,4
Is the entrance free?,4
Great. I am also looking for a train to Stansted Airport that leaves on Thursday. Can you help me with that?,4
I want to leave after 19:30.,4
Can you confirm that this will be departing from cambridge?,4
Good. What time will the train arrive in Stansted Airport?,4
I'm looking for a restaurant that services the americas in the centre.,3
"I would prefer to stay in the centre, anything in the moderate price range would be fine.",3
"I would prefer to stay in the centre, anything in the moderate price range would be fine.",4
Perfect thank you!,3
Is there one that serves modern European food?,3
Please book reservations for 1 and provide me with the reference number.,3
"On second thought, can I just get the phone number, address and postcode for Riverside?",3
Yes I need a train for Thursday that leaves London Kings Cross and arrives in Cambridge by 14:00.,4
"Yes, it does. Can I get the price of the ticket please?",4
"Hi, I'm looking to visit a park in the east part of town, do you have any recommendations?",4
Yes please. I would love the phone number.,4
"No, I just need the phone number. Thanks so much. Have a good day.",4
"Need a hotel, north side of town, and i want free wifi please.",1
"Need a hotel, north side of town, and i want free wifi please.",3
"Let's go with a hotel. I would actually like it to have free internet and parking, if possible.",1
"please give me the star of the hotel, address, and phone number of Ashley hotel",1
"Thank you, can you book me for that?",1
"Actually, lets hold off on booking the room for now. But I do need to find a restaurant in the same area that is moderately priced.",3
Either one is fine. I'll have 8 people on Saturday at 19:45.,2
How about 18:45?,2
Thank you so much for the restaurant reservation and the confirmation code.,2
I am looking for hotel with 3 star and free parking in Cambridge.,1
I didn't. Are any of them in the moderate price range?,1
I didn't. Are any of them in the moderate price range?,3
I need one with free parking and free wifi.,1
"Can you book one of them for 8 people, starting from thursday for 3 nights?",0
How about 2 nights ? And needs to start on Thursday ?,0
"Yes, I'm sure we'll be hungry so could you help me find an appropriate dining establishment in the north? Same price range as our hotel, please.",3
Yes the Golden Wok sounds great. Can I have the postcode please?,3
"Yes, can you book me a taxi from the Hamilton Lodge to the Golden Wok? I want to leave the lodge at 08:00.",4
I really would love to get any information I can on museums in the West,4
"Nothing specific. Can you make a recommendation and give me their address, postcode, and entrance fee?",4
I'm also looking about a train. I need it to be to Cambridge by 19:00. Can you help find one?,4
I will be leaving London kings cross on Monday .,4
Yes please book. I need the travel time and the train ID please.,4
Where in the Cambridge area is the Autumn House hotel?,1
Thank you. Can you give me the phone number?,1
I am also looking to go out on a boat in the centre of town. Do you have any recommendations?,4
You pick one that you think best. Please give me the postcode and phone number please.,4
What trains are available from Cambridge on Monday,4
I wanted to leave after 13:00. When is the last train to kings lynn?,4
Great. How much is the ticket for the train leaving at 13:11? What time does it arrive and what is the travel time?,4
Sounds good. Get me a ticket for TR0793. Thank you in advance.,4
I also would like to find an entertainment area in town. Any suggestions?,4
Yeah that'd be good can you please give me the address and postcode as well?,4
I'm going to be traveling to Cambridge and I'd really like to find information about what restaurants there are on the north end of the city. Can you help me?,3
I'm going to be traveling to Cambridge and I'd really like to find information about what restaurants there are on the north end of the city. Can you help me?,4
"Actually, I would like something expensive that serves gastropub food.",3
"Aww, too bad. Well, how about something in a good chinese restaurant.",3
How about Hakka for 4 people at 17:00 on tuesday?,2
How about Hakka for 4 people at 17:00 on tuesday?,4
"Yes, how about 16:00 on tuesday?",2
"Yes, how about 16:00 on tuesday?",4
Yes actually. I need to find a train departing Ely on Tuesday as well.,2
Yes actually. I need to find a train departing Ely on Tuesday as well.,4
I want to go to cambridge and I want to arrive by 13:45.,4
"Yes please book it for 4 people on Tuesday and once booked, please send me the reference number.",2
"Yes please book it for 4 people on Tuesday and once booked, please send me the reference number.",4
I need a restaurant in the Centre moderate priced,3
Does it serve Chinese food?,3
What are they?,3
I would like a table for 8 at 16:30 wednesday at Shanghi Family Restaurant please.,2
Yes. I could eat at 15:30 perhaps.,2
Hi there. I am looking to find a college to visit in the centre of town.,4
Which one would you suggest for a short visit?,4
"Yes, actually, can you provide their postcode as well please?",4
"Yes, I'm also looking for a train to Cambridge from Stansted Airport.",4
Not just yet. I actually need to find one that doesn't leave the airport until sometime after 20:00 on Saturday. I'll need the price and arrival time info on that please.,4
I am looking for someplace to go in the North with a swimming pool,4
"That sounds good, what is the postcode?",4
I need a train to Ely as well.,4
I'd like to go on Friday and leave after 13:15.,4
Yes I am. For 7 people.,4
I am looking for a restaurant that is in the centre of town and serves light bites food.,3
Do you have any expensive restaurants?,3
"Could you try Chinese food, instead?",3
That sounds good. Can you book a table for 5 people at 11:15 on wednesday please?,2
"Yes, how about 10:15 instead. I also need the reference number.",2
I need some help booking a train to stansted airport.,4
I will be leaving on a wednesday and want to arrive by 16:15,4
I would like to leave Stansted Airport to go to Cambridge and arrive by 16:15.,4
Yes please make a booking for 8 people.,4
"Yes, can you tell me the entrance fee for the Cambridge Museum of Technology?",4
"Yes, can you tell me the entrance fee for the Cambridge Museum of Technology?",4
I need a Korean restaurant in the centre of town.,3
I need a Korean restaurant in the centre of town.,1
Is there other choices that you could provide?,3
i want to make a booking for 8 people at 13:30 on Monday. please do send me a reference number.,2
Please book for 8 people on Monday at 13:30.,2
I'm also looking for hotel in the same area.,1
"I want one in centre, also expensive and free parking please.",2
"I want one in centre, also expensive and free parking please.",1
"I also need free wifi. Stars don't matter, but can you get me their phone number?",1
"I would like to find a place to stay that has wifi, I'm not a fan of this new guesthouse trend, so a regular hotel please.",1
I would like a hotel in the north.,1
I would like a hotel in the north.,3
2 stars is too pedestrian for me. I have sophisticated tastes so something around 4 stars would be better.,1
Let's try a guesthouse with those qualifications instead please.,1
book it for 3 people and 2 nights starting from thursday.,0
"Yes, can you find a chinese restaurant near the hotel, please?",3
I like my food expensive.,3
No thank you. Can you just give me the postcode and phone number?,3
Great I also need a taxi to take me between the two places.,4
I would like to be at the hotel by 13:45 please.,4
"Actually, I'd like to go from the hotel to the restaurant at 13:45.",4
I need to make sure I leave by 17:00.,4
"Can you help me find jinling noodle bar please, where is it?",3
"I was wondering if you could provide me with its food type, price range as well as the postcode?",3
"I was wondering if you could provide me with its food type, price range as well as the postcode?",4
"Yes, can you also tell me what there is to do in the centre of town?",4
I'm open to anything. Surprise me with your favorite please. Just make sure you tell me what kind of attraction it is.,4
No thank you. That is everything I need today.,4
Find me a train from Cambridge that arrives by 20:30,4
I need to leave on sunday and I am headed to london liverpool street.,4
"Yes, can you book it for 3 people please?",4
"Yes, I need a place to eat. I want to try some british food, prefer the west side of town.",3
"Can i have the address, phone number, and postcode, please?",3
"Hi, I am looking for some attractions that are in the centre of town.",4
"Hi, I am looking for some attractions that are in the centre of town.",1
What do you recommend?,4
"Yes, please. I LOVE botanic gardens. Can you find the phone number for me?",4
I also need a place to stay.,1
I would also like the hotel to be in the city centre. I'd like to find something in the cheap price range.,1
I would also like the hotel to be in the city centre. I'd like to find something in the cheap price range.,4
"May I have the postcode, address and the star of the hotel please?",1
I also need a taxi. I need to leave Cambridge university botanic gardens by 14:00 and go to Alexander Bed and Breakfast.,4
I'm visiting Cambridge and looking to do the tourist thing! I'm interested in information about potential nightclubs in the centre of town!,4
Great can I get the phone number and postcode of one you'd recommend?,4
Have you heard of the university arms hotel?,1
"Yes, let's book it for 4 people starting Sunday for 3 nights.",0
Can you book it for one night starting sunday?,0
"Disregard that last message! Let's try booking the University Arms on Sunday for 1 night, 3 people.",0
What other days are available?,0
Great can I also get a taxi between the two locations please?,4
I want to be at the attraction by 2:15 and will need a contact number for the driver and car type.,4
"Hi, I'm looking for train information. It needs to leave on Sunday and arrive at or around 20:45.",4
The train should go to leicester and should depart from cambridge. I don't care about the departure time.,4
"No, thanks. What's the train ID?",4
Thanks for the info. What else is available that arrives around 20:45?,4
I would like to find a train leaving from Cambridge.,4
I am departing from Cambridge on Sunday.,4
I need to go from cambridge to broxbourne and arrive by 14:15,4
"Something earlier, please. I would like to book it for 4 also need info on jesus green outdoor pool",4
"Something earlier, please. I would like to book it for 4 also need info on jesus green outdoor pool",4
"Yes please, that sounds perfect.",4
"I am also looking for a place called jesus green outdoor pool, do you have their address?",4
I need to find a nightclub in cambridge,4
Could I get the entrance fee for The Ballare please?,4
"Yes, please. I'm looking for a place to dine in the centre of town that is in the moderate price range.",3
Does it serve Modern European? That is really what I am in the mood for.,3
Yes please pick a moderate one and book me a table for 5 people on Tuesday at 14:45.,2
Thank you for your help!,2
Yes. I would like a taxi from the nightclub to the restaurant in time for my reservation.,4
Yes. I would like a taxi from the nightclub to the restaurant in time for my reservation.,4
Thank you for your help and booking that taxi for me!,4
Have a nice evening.,4
"I need a train to cambridge that leaves after 9:15, please.",4
"No, I need a train departing from stansted airport on wednesday.",4
I need to book 3 seats. Can you do that?,4
"Yes, I am looking for a restaurant in the Centre that serves Polynesian food, can you help me?",3
How about one that serves Indian food?,3
Cheap is fine. Whatever you think is the best. Can I get the number and address for that place though?,3
Yes. I'd like to make a reservation for Thursday.,3
"Actually I will call them, could you give me their phone and address once again, and confirm the price range please?",3
"I would like to book a five star, or closest to it, in the east part of town please.",3
"I would like to book a five star, or closest to it, in the east part of town please.",1
I am looking to stay in a guesthouse in the expensive price range.,1
What about a hotel in a cheap price range?,3
What about a hotel in a cheap price range?,1
I would like to book the Autumn house starting Monday for 4 nights for 2 people.,3
I would like to book the Autumn house starting Monday for 4 nights for 2 people.,0
What expensive restaurants are in the East part of town?,3
What expensive restaurants are in the East part of town?,0
What cheap restaurants are in the East part of town?,3
What cheap restaurants are in the East part of town?,0
"Yes please for 2 people on monday, thanks.",3
"Yes please for 2 people on monday, thanks.",0
I need that for 13:00 and I would appreciate a reference number.,2
I am planning your trip in Cambridge. looking for a place to dine. The restaurant should be in the cheap price range and should serve steakhouse food,3
"Sure, how about an Italian one?",3
"Any area is fine, I just need to know the area and address.",3
"Yes, I also need a hotel in the north.",1
I need one that offers free parking and that is a guesthouse.,1
That's fine. I need it booked starting sunday for 2 nights. There will be 6 people.,0
I need a taxi leaving after 10:30.,4
I need to be picked up from Sitar Tandoori and I am going to Clare Hall. And I need the car type and contact number.,4
I Don't have a specific time just need to leave after 10:30,4
i am looking for a place to dine. The restaurant should be in the moderate price range and should serve korean food.,3
What other restaurants are in the centre of town?,3
What about one that serves Turkish food?,3
"Yes, please. I need a table for 4 on Saturday at 18:15.",2
Thank you. I will also need a reference number.,2
"Great, thanks. Can you tell me some information on the Cambridge and County Folk Museum?",4
Thank you. I'll also need the postcode and attraction type.,4
"I'm looking for a train to Cambridge, please.",4
I am departing from ely and want to leave on saturday. It should arrive by 20:45.,4
"A later time, definitely. Don't want to kick around town that long.",4
Yes please book that for 4 people and provide the reference number please.,4
"Yes, can you recommend a place to go in town, maybe a museum?",4
"Yes, I'd like to stay in the centre of town.",4
"Yes, can i just have the address?",4
"I am looking for a specific hotel, its name is express by holiday inn cambridge",1
"I am looking for a specific hotel, its name is express by holiday inn cambridge",4
"Yes, could you book the hotel room for me for 7 people?",0
"Monday, please. There will be 7 of us and we'd like to stay for 4 days.",0
"Thank you. I would also like to book a train, please.",4
I will be going from cambridge to birmingham new street.,4
Whenever will get me there by 17:30. I do need to leave on Friday and I will need the travel time please.,4
find me a place to stay which has 0 star and preferably a guest house,1
North part of town for sure,1
"Yes, please book it for 6 people and 3 nights starting from tuesday.",0
I am looking to go to a multiple sports center too.,4
"I'd like it to be in the centre, please.",4
Let's try for a college in that case instead please,4
Would you forward the address for that also please?,4
Can you tell me about the Cote restaurant?,3
"Yes, I need a table for two people at 13:00 on Tuesday.",2
"Yes, I need a table for two people at 13:00 on Tuesday.",4
I also need to find something to do.,4
Is there a theatre in the city centre?,4
What's the phone number and address for the ADC Theatre?,4
"Yes please, I'd like to book a taxi between the restaurant and theatre.",4
"Yes please, I'd like to book a taxi between the restaurant and theatre.",2
"I need a cab for the commute, it needs to get to the restaurant by my reservation time. contact # and car type please",4
I'm looking for a place to go that's in the centre and deals with architecture. I think it would be really neat!,4
I am looking for a moderate or cheap place in the centre.,4
Sounds like a plan. What's the address for the church?,4
"I need a train, leaving after 9:00, going to Cambridge.",4
I'm departing from leicester on wednesday. Please book it for 3 people.,4
i'm looking for a hotel called home from home.,1
"No thanks, I would like to book for 5 people for 2 nights starting on tuesday.",0
I also need a train. Going to Bishops Stortford arriving around 21:30.,4
i want to leave on thursday,4
"Yes, I'd like to leave from cambridge.",4
I'm not sure but I would need to arrive by 21:30.,4
"Yes that would be great! I'd like it for the same number of people, please",4
I need information about the hotel Express by Holiday Inn Cambridge.,1
Please book it for 3 people for 3 nights starting Tuesday.,0
Can you try for just 2 nights instead?,0
i am also looking for places to go in town. The attraction should be in the type of museum,4
That sounds great. Can I have the address please?,4
I also need to book a taxi between the two places.,4
From the museum to the hotel,4
From the museum to the hotel,4
I want to leave the museum at 9:00.,4
I want to leave the museum at 9:00.,4
"Hello, are there any trains on Sunday that include Cambridge as a destination?",4
"Yes, I would like to depart from bishops stortford after 9:30.",4
"I'd like to book that one for 2 people. I will need the reference number, please.",4
Thank you i also need a restaurant in the centre serving mediterranean food please,3
Can you give me the postcode and phone number for the cheap restaurant?,3
"I need a place to stay in the north. I use mturk quite a bit to get vacation money, so it would have to have free wifi.",1
I have lots of closed quals so I can go with a moderate price range.,1
"Certainly, please book it for 5 people and 5 nights starting from saturday. Please provide me with the reference number and thanks for you help.",0
"Certainly, please book it for 5 people and 5 nights starting from saturday. Please provide me with the reference number and thanks for you help.",3
"Well, I'm also looking for a restaurant called rice boat",3
I need to book a table for 5 at 13:30 on saturday,2
I need to book a table for 5 at 13:30 on saturday,0
I need to book a table for 5 at 13:30 on saturday,4
I want to book a taxi to commute between the two places,4
I want to commute between the two places.,4
I will be departing for the hotel.,4
"I'm sorry, I will be departing from the hotel to the restaurant. I don't mind what time it leaves as long as I get to the restaurant by 13:30.",4
"I'm sorry, I will be departing from the hotel to the restaurant. I don't mind what time it leaves as long as I get to the restaurant by 13:30.",2
"i'm looking for a place to stay, a guesthouse type, in a moderate price range please.",1
"Yes, I would like to stay in the West area of town and I would also like it to have a 3 star rating.",1
Can I get the phone number for them please?,1
I'm looking for entertainment attractions in the south.,4
Perhaps you can suggest an entertainment option and provide the phone number.,4
I'm going to need a taxi to get around. Can you help?,4
Yep and I'd like to leave around 15:00 please,4
Hi I'm looking for something to do for entertainment in the centre of Cambridge.,4
No. Don't try a different area. But what about a museum instead?,4
Yes. When you do. Please give me the number and the entrance fee.,4
"I also need to find a guesthouse that has 0 stars, I really need it to be in the north.",1
"I also need to find a guesthouse that has 0 stars, I really need it to be in the north.",4
"Yes, please book a room for 1 person for 4 nights beginning from tuesday",0
Thanks so much. Can you also help me with a taxi?,4
I'd like to leave castle galleries by 05:15.,4
Book me a taxi to vue cinema,4
I want to leave after 08:30 from la mimosa,4
"As I said, I will be leaving from La Minosa.",4
Is the mumford theatre still in operation?,4
yes. that will help alot,4
Please I am also looking for an expensive restaurant to dine at.,3
Do you have a European option?,3
I need this to be in the est please.,3
I'm sorry I meant to say west before. I am looking for a European place that is expensive in the west.,3
get me its post code,3
Can you book a taxi for me? I'd like to leave the restaurant by 03:00 and go to the theatre.,4
I need to find a place to stay in the east part of town with free parking.,1
I don't have a preferred price. I'm looking for any sort of guesthouse there and absolutely require wifi access.,1
"Yes, please book it for 5 people and 3 nights, starting from Monday.",0
I was wondering if you could point me in the direction of a local restaurant by the name of Wagamama.,3
I need to book it for 8 people at 13:30 on wednesday.,2
I need to book it for 8 people at 13:30 on wednesday.,4
Okay how about 12:30?,2
Yes I need you to confirm what time my reservation is and give me the reference number. I thought you said 13:30 originally didn't work. I'm getting confused.,2
Can you find me a train that departs from ely to Cambridge? I need to book a seat on the same day as my restaurant booking please.,4
"I'd like to arrive by 8:00, please.",4
The one that arrives at 7:52 is fine. I would like 8 tickets please. Can I get the reference number as well?,4
I'm looking for a boat to go to in town.,4
"No, your recommendation will suffice.",4
"Thank you , I am also looking for a restaurant that serves indian in the centre area.",3
"Yes, I need it for Saturday at 14:45, for three.",2
Can you please check for 13:45?,2
"Hi there, I'm trying to book a train ticket from Cambridge to Kings Lynn. Can you help me do this?",4
I would like to leave on Sunday and arrive by 20:00,4
"Yes, please make one for 3 people.",4
